FIPS,Percent,Total,%,Distance to Closest (Miles),Normalized,Normalized%,,,28.7,2.6
1001,0.145,"8,070",14.5,20.70779596,0.100519977,0.455938697,,,,
1003,0.124,"27,070",12.4,28.06057038,0.137407659,0.375478927,,,,
1005,0.195,"4,870",19.5,55.67799547,0.275959819,0.647509579,,,,
1007,0.164,"3,680",16.4,36.85638154,0.181534822,0.528735632,,,,
1009,0.138,"7,980",13.8,38.3340661,0.188948127,0.429118774,,,,
1011,0.16,"1,620",16,41.28781658,0.203766616,0.513409962,,,,
1013,0.163,"3,210",16.3,47.08909855,0.23287071,0.524904215,,,,
1015,0.161,"18,430",16.1,61.76119639,0.306478255,0.517241379,,,,
1017,0.151,"5,040",15.1,39.50762247,0.19483567,0.478927203,,,,
1019,0.142,"3,700",14.2,64.0447894,0.317934672,0.444444444,,,,
1021,0.159,"7,000",15.9,39.42449291,0.194418622,0.509578544,,,,
1023,0.169,"2,160",16.9,99.61946294,0.496407062,0.54789272,,,,
1025,0.191,"4,560",19.1,78.23304808,0.389114874,0.632183908,,,,
1027,0.147,"1,950",14.7,58.12869327,0.288254574,0.463601533,,,,
1029,0.161,"2,410",16.1,58.80627171,0.291653875,0.517241379,,,,
1031,0.146,"7,620",14.6,70.21894851,0.348909431,0.459770115,,,,
1033,0.159,"8,740",15.9,68.642349,0.340999886,0.509578544,,,,
1035,0.16,"1,950",16,75.45459627,0.37517583,0.513409962,,,,
1037,0.14,"1,500",14,39.40452694,0.194318456,0.436781609,,,,
1039,0.164,"6,080",16.4,77.86882736,0.387287637,0.528735632,,,,
1041,0.152,"2,110",15.2,44.27643793,0.218760047,0.482758621,,,,
1043,0.147,"12,260",14.7,43.70953026,0.215915962,0.463601533,,,,
1045,0.171,"8,440",17.1,77.91796277,0.387534142,0.555555556,,,,
1047,0.203,"7,760",20.3,44.56148615,0.220190087,0.67816092,,,,
1049,0.16,"11,450",16,48.62430111,0.240572574,0.513409962,,,,
1051,0.125,"10,170",12.5,19.31792757,0.093547232,0.379310345,,,,
1053,0.182,"6,680",18.2,70.3232299,0.349432594,0.597701149,,,,
