FIPS,County,Food Insecurity %
1001,Autauga County,14.5
1003,Baldwin County,12.4
1005,Barbour County,19.5
1007,Bibb County,16.4
1009,Blount County,13.8
1011,Bullock County,16
1013,Butler County,16.3
1015,Calhoun County,16.1
1017,Chambers County,15.1
1019,Cherokee County,14.2
1021,Chilton County,15.9
1023,Choctaw County,16.9
1025,Clarke County,19.1
1027,Clay County,14.7
1029,Cleburne County,16.1
1031,Coffee County,14.6
1033,Colbert County,15.9
1035,Conecuh County,16
1037,Coosa County,14
1039,Covington County,16.4
1041,Crenshaw County,15.2
1043,Cullman County,14.7
1045,Dale County,17.1
1047,Dallas County,20.3
1049,DeKalb County,16
1051,Elmore County,12.5
1053,Escambia County,18.2
1055,Etowah County,16.3
1057,Fayette County,17.8
1059,Franklin County,14.9
1061,Geneva County,18.4
1063,Greene County,22.3
1065,Hale County,19.2
1067,Henry County,13.7
1069,Houston County,15.3
1071,Jackson County,16.8
1073,Jefferson County,14.1
1075,Lamar County,17.1
1077,Lauderdale County,14
1079,Lawrence County,16.3
1081,Lee County,14.1
1083,Limestone County,12.9
1085,Lowndes County,20.1
1087,Macon County,16.4
1089,Madison County,11.9
1091,Marengo County,17
1093,Marion County,17.7
1095,Marshall County,15.2
1097,Mobile County,15.7
1099,Monroe County,18.3
1101,Montgomery County,15.7
1103,Morgan County,14.2
1105,Perry County,22.9
1107,Pickens County,18.5
1109,Pike County,15.1
1111,Randolph County,15.1
1113,Russell County,16.8
1115,St. Clair County,13.1
1117,Shelby County,9.6
1119,Sumter County,18.7
1121,Talladega County,16.5
1123,Tallapoosa County,15.9
1125,Tuscaloosa County,14.3
1127,Walker County,17.3
1129,Washington County,15
1131,Wilcox County,21.5
1133,Winston County,17
