FIPS,County,Food Insecurity %
5001,Arkansas County,14.7
5003,Ashley County,16.7
5005,Baxter County,15.7
5007,Benton County,10.7
5009,Boone County,15.4
5011,Bradley County,14.9
5013,Calhoun County,13
5015,Carroll County,14
5017,Chicot County,20.7
5019,Clark County,16.9
5021,Clay County,18.8
5023,Cleburne County,16.1
5025,Cleveland County,14.6
5027,Columbia County,17.4
5029,Conway County,18
5031,Craighead County,16
5033,Crawford County,15.9
5035,Crittenden County,16.7
5037,Cross County,15.9
5039,Dallas County,14.1
5041,Desha County,17.4
5043,Drew County,15.5
5045,Faulkner County,14.3
5047,Franklin County,19.1
5049,Fulton County,17.8
5051,Garland County,17.6
5053,Grant County,14.2
5055,Greene County,17
5057,Hempstead County,15.5
5059,Hot Spring County,15.8
5061,Howard County,15.1
5063,Independence County,15.5
5065,Izard County,18.1
5067,Jackson County,19.4
5069,Jefferson County,16.3
5071,Johnson County,16.7
5073,Lafayette County,18.7
5075,Lawrence County,17
5077,Lee County,19.4
5079,Lincoln County,15.2
5081,Little River County,14.3
5083,Logan County,17.3
5085,Lonoke County,13.5
5087,Madison County,15.5
5089,Marion County,18.2
5091,Miller County,16.3
5093,Mississippi County,18.3
5095,Monroe County,18.3
5097,Montgomery County,18.2
5099,Nevada County,17
5101,Newton County,14.1
5103,Ouachita County,17
5105,Perry County,16.1
5107,Phillips County,22.2
5109,Pike County,17.1
5111,Poinsett County,18.2
5113,Polk County,18.8
5115,Pope County,14.8
5117,Prairie County,14
5119,Pulaski County,14.7
5121,Randolph County,17.6
5123,St. Francis County,19.5
5125,Saline County,11.6
5127,Scott County,16.4
5129,Searcy County,20.3
5131,Sebastian County,16.5
5133,Sevier County,15.2
5135,Sharp County,18.2
5137,Stone County,19.3
5139,Union County,15.9
5141,Van Buren County,17.7
5143,Washington County,13.5
5145,White County,15.4
5147,Woodruff County,16.9
5149,Yell County,14
