FIPS,County,Food Insecurity %
13001,Appling County,14.20%
13003,Atkinson County,14.90%
13005,Bacon County,16.20%
13007,Baker County,14.70%
13009,Baldwin County,14.40%
13011,Banks County,12.70%
13013,Barrow County,10.10%
13015,Bartow County,11.80%
13017,Ben Hill County,17.20%
13019,Berrien County,16.30%
13021,Bibb County,16.10%
13023,Bleckley County,14.20%
13025,Brantley County,14.60%
13027,Brooks County,14%
13029,Bryan County,9.80%
13031,Bulloch County,13.50%
13033,Burke County,12.40%
13035,Butts County,14.60%
13037,Calhoun County,14.10%
13039,Camden County,11.60%
13043,Candler County,16.40%
13045,Carroll County,12.50%
13047,Catoosa County,10.70%
13049,Charlton County,14.90%
13051,Chatham County,12.50%
13053,Chattahoochee County,15.70%
13055,Chattooga County,17%
13057,Cherokee County,8%
13059,Clarke County,15%
13061,Clay County,20.50%
13063,Clayton County,12.40%
13065,Clinch County,16.10%
13067,Cobb County,8.10%
13069,Coffee County,14.20%
13071,Colquitt County,14.60%
13073,Columbia County,7.40%
13075,Cook County,13.80%
13077,Coweta County,9.10%
13079,Crawford County,13.40%
13081,Crisp County,19.10%
13083,Dade County,12.10%
13085,Dawson County,9.60%
13087,Decatur County,14.60%
13089,DeKalb County,11.10%
13091,Dodge County,14.80%
13093,Dooly County,14.40%
13095,Dougherty County,17.10%
13097,Douglas County,9.50%
13099,Early County,16.70%
13101,Echols County,13.90%
13103,Effingham County,8.30%
13105,Elbert County,16.20%
13107,Emanuel County,16.90%
13109,Evans County,14.10%
13111,Fannin County,12.90%
13113,Fayette County,6.50%
13115,Floyd County,14.40%
13117,Forsyth County,6.20%
13119,Franklin County,15.70%
13121,Fulton County,11.30%
13123,Gilmer County,13.40%
13125,Glascock County,12.80%
13127,Glynn County,13.30%
13129,Gordon County,13.20%
13131,Grady County,13.20%
13133,Greene County,11.20%
13135,Gwinnett County,8.40%
13137,Habersham County,11.80%
13139,Hall County,10.40%
13141,Hancock County,14.60%
13143,Haralson County,13%
13145,Harris County,7.50%
13147,Hart County,12.90%
13149,Heard County,17.20%
13151,Henry County,8.20%
13153,Houston County,10%
13155,Irwin County,14.30%
13157,Jackson County,9.30%
13159,Jasper County,12.20%
13161,Jeff Davis County,14.70%
13163,Jefferson County,13.60%
13165,Jenkins County,18.30%
13167,Johnson County,14.80%
13169,Jones County,9.40%
13171,Lamar County,12.80%
13173,Lanier County,17.10%
13175,Laurens County,16.30%
13177,Lee County,9.50%
13179,Liberty County,12%
13181,Lincoln County,13.90%
13183,Long County,14.60%
13185,Lowndes County,14.10%
13187,Lumpkin County,10.50%
13189,McDuffie County,13.40%
13191,McIntosh County,11.90%
13193,Macon County,15.90%
13195,Madison County,14.60%
13197,Marion County,11%
13199,Meriwether County,16.40%
13201,Miller County,12.90%
13205,Mitchell County,16%
13207,Monroe County,12.20%
13209,Montgomery County,12.20%
13211,Morgan County,9%
13213,Murray County,13.60%
13215,Muscogee County,15.30%
13217,Newton County,11.50%
13219,Oconee County,6.80%
13221,Oglethorpe County,10.40%
13223,Paulding County,8%
13225,Peach County,13.70%
13227,Pickens County,11.80%
13229,Pierce County,12.40%
13231,Pike County,9%
13233,Polk County,14.20%
13235,Pulaski County,14.40%
13237,Putnam County,13.90%
13239,Quitman County,12.10%
13241,Rabun County,15.50%
13243,Randolph County,16.70%
13245,Richmond County,15.70%
13247,Rockdale County,9.30%
13249,Schley County,11.10%
13251,Screven County,14.60%
13253,Seminole County,17%
13255,Spalding County,13.80%
13257,Stephens County,13.60%
13259,Stewart County,15.50%
13261,Sumter County,14.60%
13263,Talbot County,11.70%
13265,Taliaferro County,14.90%
13267,Tattnall County,13.90%
13269,Taylor County,19.10%
13271,Telfair County,17.30%
13273,Terrell County,17.80%
13275,Thomas County,13.50%
13277,Tift County,13.80%
13279,Toombs County,15.10%
13281,Towns County,12.40%
13283,Treutlen County,19.70%
13285,Troup County,14.60%
13287,Turner County,17.90%
13289,Twiggs County,11.80%
13291,Union County,13.10%
13293,Upson County,14.80%
13295,Walker County,13.60%
13297,Walton County,10.40%
13299,Ware County,14.90%
13301,Warren County,14.90%
13303,Washington County,14%
13305,Wayne County,13.10%
13307,Webster County,14.40%
13309,Wheeler County,16.40%
13311,White County,11.70%
13313,Whitfield County,12.30%
13315,Wilcox County,14.20%
13317,Wilkes County,15.10%
13319,Wilkinson County,14.10%
13321,Worth County,13.50%
