FIPS,County,Food Insecurity %
22001,Acadia Parish,17.30%
22003,Allen Parish,14.70%
22005,Ascension Parish,9.50%
22007,Assumption Parish,16.40%
22009,Avoyelles Parish,18.20%
22011,Beauregard Parish,13.60%
22013,Bienville Parish,19.20%
22015,Bossier Parish,13.10%
22017,Caddo Parish,16%
22019,Calcasieu Parish,14.20%
22021,Caldwell Parish,16.10%
22023,Cameron Parish,10.20%
22025,Catahoula Parish,16.20%
22027,Claiborne Parish,19.20%
22029,Concordia Parish,17.90%
22031,De Soto Parish,15.50%
22033,East Baton Rouge Parish,12.90%
22035,East Carroll Parish,25.90%
22037,East Feliciana Parish,11.40%
22039,Evangeline Parish,20.80%
22041,Franklin Parish,18%
22043,Grant Parish,13.70%
22045,Iberia Parish,16.60%
22047,Iberville Parish,14.20%
22049,Jackson Parish,16%
22051,Jefferson Parish,13.90%
22053,Jefferson Davis Parish,15.50%
22055,Lafayette Parish,12.90%
22057,Lafourche Parish,14.10%
22059,La Salle Parish,12.40%
22061,Lincoln Parish,16.60%
22063,Livingston Parish,10.90%
22065,Madison Parish,20.60%
22067,Morehouse Parish,17.60%
22069,Natchitoches Parish,16.50%
22071,Orleans Parish,17.30%
22073,Ouachita Parish,15.70%
22075,Plaquemines Parish,13.80%
22077,Pointe Coupee Parish,16.80%
22079,Rapides Parish,14.40%
22081,Red River Parish,16.80%
22083,Richland Parish,17.90%
22085,Sabine Parish,15.50%
22087,St. Bernard Parish,17.40%
22089,St. Charles Parish,10.50%
22091,St. Helena Parish,17.50%
22093,St. James Parish,11.90%
22095,St. John the Baptist Parish,12.40%
22097,St. Landry Parish,15.80%
22099,St. Martin Parish,13.50%
22101,St. Mary Parish,16.60%
22103,St. Tammany Parish,11.60%
22105,Tangipahoa Parish,16.30%
22107,Tensas Parish,18%
22109,Terrebonne Parish,15%
22111,Union Parish,14.60%
22113,Vermilion Parish,14.60%
22115,Vernon Parish,15.60%
22117,Washington Parish,17.70%
22119,Webster Parish,17.60%
22121,West Baton Rouge Parish,11.70%
22123,West Carroll Parish,16%
22125,West Feliciana Parish,9.30%
22127,Winn Parish,14.90%
