FIPS,County,Food Insecurity %
37001,Alamance County,13.1
37003,Alexander County,13.5
37005,Alleghany County,17.5
37007,Anson County,14.5
37009,Ashe County,14
37011,Avery County,14
37013,Beaufort County,14
37015,Bertie County,16.5
37017,Bladen County,16.3
37019,Brunswick County,13.1
37021,Buncombe County,13.7
37023,Burke County,16.3
37025,Cabarrus County,10.3
37027,Caldwell County,14.9
37029,Camden County,10.2
37031,Carteret County,12.6
37033,Caswell County,14.1
37035,Catawba County,13.2
37037,Chatham County,10.7
37039,Cherokee County,16.4
37041,Chowan County,14.7
37043,Clay County,15.8
37045,Cleveland County,15.7
37047,Columbus County,16.6
37049,Craven County,13.5
37051,Cumberland County,16.2
37053,Currituck County,10.3
37055,Dare County,12.3
37057,Davidson County,14.1
37059,Davie County,13
37061,Duplin County,13.6
37063,Durham County,11.3
37065,Edgecombe County,16.5
37067,Forsyth County,13
37069,Franklin County,11.8
37071,Gaston County,14
37073,Gates County,12.7
37075,Graham County,16.7
37077,Granville County,11.3
37079,Greene County,14.9
37081,Guilford County,13.3
37083,Halifax County,17.9
37085,Harnett County,13.7
37087,Haywood County,14.3
37089,Henderson County,12.3
37091,Hertford County,14.9
37093,Hoke County,15.1
37095,Hyde County,17
37097,Iredell County,11.6
37099,Jackson County,15.3
37101,Johnston County,11.5
37103,Jones County,17.2
37105,Lee County,14.6
37107,Lenoir County,17
37109,Lincoln County,12.8
37111,McDowell County,15.4
37113,Macon County,15.3
37115,Madison County,14.5
37117,Martin County,15.5
37119,Mecklenburg County,10.9
37121,Mitchell County,14.6
37123,Montgomery County,13.8
37125,Moore County,12
37127,Nash County,13.8
37129,New Hanover County,13.7
37131,Northampton County,14.4
37133,Onslow County,14.1
37135,Orange County,10.2
37137,Pamlico County,13.9
37139,Pasquotank County,12.2
37141,Pender County,12.8
37143,Perquimans County,12.4
37145,Person County,14.2
37147,Pitt County,14.4
37149,Polk County,12.9
37151,Randolph County,14.3
37153,Richmond County,17.3
37155,Robeson County,18.8
37157,Rockingham County,15.5
37159,Rowan County,14.5
37161,Rutherford County,17.2
37163,Sampson County,14
37165,Scotland County,20.4
37167,Stanly County,12.8
37169,Stokes County,13.9
37171,Surry County,15.6
37173,Swain County,16.1
37175,Transylvania County,13.6
37177,Tyrrell County,16.2
37179,Union County,8.5
37181,Vance County,16.6
37183,Wake County,9.5
37185,Warren County,16.1
37187,Washington County,19.1
37189,Watauga County,14.3
37191,Wayne County,14.2
37193,Wilkes County,15.1
37195,Wilson County,15.5
37197,Yadkin County,13.9
37199,Yancey County,15
