FIPS,Percent,Total,%,Distance to Closest (Miles),Normalized
01001,0.145,"8,070",14.5,20.70779596,0.100519977
01003,0.124,"27,070",12.4,28.06057038,0.137407659
01005,0.195,"4,870",19.5,55.67799547,0.275959819
01007,0.164,"3,680",16.4,36.85638154,0.181534822
01009,0.138,"7,980",13.8,38.3340661,0.188948127
01011,0.16,"1,620",16,41.28781658,0.203766616
01013,0.163,"3,210",16.3,47.08909855,0.23287071
01015,0.161,"18,430",16.1,61.76119639,0.306478255
01017,0.151,"5,040",15.1,39.50762247,0.19483567
01019,0.142,"3,700",14.2,64.0447894,0.317934672
01021,0.159,"7,000",15.9,39.42449291,0.194418622
01023,0.169,"2,160",16.9,99.61946294,0.496407062
01025,0.191,"4,560",19.1,78.23304808,0.389114874
01027,0.147,"1,950",14.7,58.12869327,0.288254574
01029,0.161,"2,410",16.1,58.80627171,0.291653875
01031,0.146,"7,620",14.6,70.21894851,0.348909431
01033,0.159,"8,740",15.9,68.642349,0.340999886
01035,0.16,"1,950",16,75.45459627,0.37517583
01037,0.14,"1,500",14,39.40452694,0.194318456
01039,0.164,"6,080",16.4,77.86882736,0.387287637
01041,0.152,"2,110",15.2,44.27643793,0.218760047
01043,0.147,"12,260",14.7,43.70953026,0.215915962
01045,0.171,"8,440",17.1,77.91796277,0.387534142
01047,0.203,"7,760",20.3,44.56148615,0.220190087
01049,0.16,"11,450",16,48.62430111,0.240572574
01051,0.125,"10,170",12.5,19.31792757,0.093547232
01053,0.182,"6,680",18.2,70.3232299,0.349432594
01055,0.163,"16,790",16.3,56.77867776,0.281481764
01057,0.178,"2,930",17.8,54.61395024,0.270621676
01059,0.149,"4,690",14.9,73.54487961,0.36559509
01061,0.184,"4,850",18.4,93.11098272,0.463755068
01063,0.223,"1,840",22.3,77.43974412,0.385134996
01065,0.192,"2,840",19.2,67.17958367,0.333661429
01067,0.137,"2,340",13.7,74.42537088,0.370012373
01069,0.153,"16,130",15.3,77.89001491,0.387393932
01071,0.168,"8,710",16.8,34.11072381,0.167760301
01073,0.141,"93,140",14.1,6.502794221,0.029255778
01075,0.171,"2,380",17.1,75.453909,0.375172382
01077,0.14,"13,000",14,61.2470017,0.303898623
01079,0.163,"5,380",16.3,42.94043608,0.212057541
01081,0.141,"22,990",14.1,28.41710215,0.139196321
01083,0.129,"12,530",12.9,22.68923524,0.110460538
01085,0.201,"2,000",20.1,23.28334406,0.113441086
01087,0.164,"3,030",16.4,38.08478399,0.187697519
01089,0.119,"43,590",11.9,3.759710519,0.015494171
01091,0.17,"3,250",17,84.77132083,0.421916332
01093,0.177,"5,290",17.7,75.69155365,0.376364607
01095,0.152,"14,630",15.2,29.67682524,0.145516148
01097,0.157,"65,050",15.7,13.93137963,0.066523791
01099,0.183,"3,840",18.3,81.476591,0.405387205
01101,0.157,"35,470",15.7,13.15608597,0.062634268
01103,0.142,"16,990",14.2,23.71558506,0.115609569
01105,0.229,"2,090",22.9,58.30112556,0.289119639
01107,0.185,"3,720",18.5,73.42508432,0.364994096
01109,0.151,"5,040",15.1,45.92213993,0.227016268
01111,0.151,"3,430",15.1,61.06848215,0.30300302
01113,0.168,"9,730",16.8,25.47348724,0.124428681
01115,0.131,"11,630",13.1,34.42666672,0.169345336
01117,0.096,"20,860",9.6,17.72330182,0.085547252
01119,0.187,"2,360",18.7,99.68850496,0.496753435
01121,0.165,"13,220",16.5,39.29786317,0.193783341
01123,0.159,"6,420",15.9,46.54182798,0.230125142
01125,0.143,"29,840",14.3,41.67036766,0.205685813
01127,0.173,"11,040",17.3,34.86781263,0.171558493
01129,0.15,"2,460",15,57.1775752,0.283482968
01131,0.215,"2,270",21.5,62.20602602,0.308709893
01133,0.17,"4,020",17,55.89937419,0.27707044
02013,0.098,330,9.8,60.55179612,16.90284906
02016,0.101,570,10.1,49.90596398,6.954445329
02020,0.1,"29,270",10,99.17316009,14.62318609
02050,0.204,"3,720",20.4,11.18492965,16.40488989
02060,0.108,80,10.8,57.33142744,15.85358378
02063,0.092,590,9.2,66.18548831,14.93467385
02066,0.118,340,11.8,76.65843708,16.12593089
02068,0.162,410,16.2,33.13298901,14.53008893
02070,0.146,720,14.6,68.59026377,12.17573984
02090,0.092,"9,040",9.2,63.80259842,12.09317856
02100,0.17,430,17,41.06842284,11.86745275
02105,0.141,300,14.1,61.10228988,14.98711844
02110,0.093,"2,980",9.3,55.13449304,10.92225273
02122,0.128,"7,550",12.8,47.74372392,15.30867682
02130,0.122,"1,690",12.2,45.08827194,15.7603769
02150,0.099,"1,330",9.9,2.061016563,14.77201464
02158,0.268,"2,230",26.8,20.44507272,17.07225023
02164,0.15,170,15,25.26609241,15.84766447
02170,0.111,"11,920",11.1,35.81453305,16.50396763
02180,0.169,"1,690",16.9,53.11885329,11.47877709
02185,0.11,"1,030",11,84.92813193,11.33727269
02188,0.182,"1,400",18.2,77.02803217,11.91075209
02195,0.111,360,11.1,31.7446715,12.20706363
02198,0.165,"1,050",16.5,32.25664356,13.95117627
02220,0.1,860,10,76.54330946,13.90694992
02230,0.167,220,16.7,47.67544977,16.98690359
02240,0.12,830,12,28.08989691,11.21575018
02275,0.111,280,11.1,22.24916415,13.06813341
02282,0.103,60,10.3,28.33473453,15.27154235
02290,0.185,980,18.5,43.73118934,4.253064705
04001,0.226,"16,230",22.6,44.86287491,4.576865998
04003,0.126,"15,880",12.6,51.85804048,4.885471442
04005,0.146,"20,730",14.6,73.55008136,4.70102175
04007,0.159,"8,550",15.9,34.77283673,4.507669013
04009,0.138,"5,300",13.8,36.53624834,4.301169853
04011,0.108,"1,020",10.8,56.41707476,5.601919675
04012,0.175,"3,680",17.5,26.97916246,5.207720506
04013,0.11,"487,340",11,30.46167123,5.446323369
04015,0.164,"34,670",16.4,52.64756181,4.487592312
04017,0.192,"21,160",19.2,60.65717605,5.122318423
04019,0.126,"130,860",12.6,22.28458585,4.920410823
04021,0.111,"49,680",11.1,40.34925891,4.922405162
04023,0.14,"6,540",14,25.12890773,5.147794927
04025,0.13,"30,260",13,26.2716336,5.654381713
04027,0.162,"34,400",16.2,79.8055346,0.300410889
05001,0.147,"2,610",14.7,11.13865912,0.247002469
05003,0.167,"3,330",16.7,33.39818935,0.494168033
05005,0.157,"6,540",15.7,63.58408607,0.052745295
05007,0.107,"29,270",10.7,69.49564035,0.28425482
05009,0.154,"5,780",15.4,43.27717529,0.328674213
05011,0.149,"1,620",14.9,54.32153974,0.381215305
05013,0.13,670,13,65.79119293,0.162855164
05015,0.14,"3,920",14,38.89472741,0.340738583
05017,0.207,"2,160",20.7,68.13484104,0.316719639
05019,0.169,"3,790",16.9,53.95463048,0.202665953
05021,0.188,"2,760",18.8,15.90308546,0.303172628
05023,0.161,"4,040",16.1,59.27050968,0.273233155
05025,0.146,"1,170",14.6,66.12775177,0.23615486
05027,0.174,"4,110",17.4,44.85537552,0.222832887
05029,0.18,"3,750",18,5.698453489,0.006972098
05031,0.16,"17,490",16,42.76660239,0.099201937
05033,0.159,"10,050",15.9,47.46535803,0.123388214
05035,0.167,"8,080",16.7,20.29871225,0.176308037
05037,0.159,"2,640",15.9,38.07495109,0.263121016
05039,0.141,"1,000",14.1,81.96058497,0.422703028
05041,0.174,"2,010",17.4,12.10773502,0.383069504
05043,0.155,"2,830",15.5,40.74584284,0.155890199
05045,0.143,"17,810",14.3,52.62490274,0.15845868
05047,0.191,"3,400",19.1,81.52646592,0.380637728
05049,0.178,"2,190",17.8,55.19259893,0.23581234
05051,0.176,"17,410",17.6,62.6335627,0.137554785
05053,0.142,"2,590",14.2,17.80415491,0.108252773
05055,0.17,"7,700",17,51.08975352,0.138783096
05057,0.155,"3,370",15.5,54.23963542,0.216024622
05059,0.158,"5,330",15.8,61.18556555,0.221702106
05061,0.151,"2,010",15.1,197.8213798,0.256795722
05063,0.155,"5,810",15.5,171.2865658,0.365621186
05065,0.181,"2,450",18.1,187.4388305,0.171082015
05067,0.194,"3,270",19.4,59.29280984,0.179928766
05069,0.163,"11,080",16.3,32.87439228,0.27966766
05071,0.167,"4,430",16.7,77.78956881,0.13198241
05073,0.187,"1,260",18.7,37.49853041,0.149453594
05075,0.17,"2,800",17,45.88710649,0.260756623
05077,0.194,"1,740",19.4,22.56924016,0.300939563
05079,0.152,"2,010",15.2,51.94468293,0.108430477
05081,0.143,"1,760",14.3,20.84234745,0.199058024
05083,0.173,"3,730",17.3,61.63836083,0.122699981
05085,0.135,"9,850",13.5,25.81752085,0.128432852
05087,0.155,"2,540",15.5,46.86235384,0.397003785
05089,0.182,"3,010",18.2,53.60717905,0.052513164
05091,0.163,"7,090",16.3,38.03605756,0.164185631
05093,0.183,"7,590",18.3,83.07786286,0.315623398
05095,0.183,"1,260",18.3,3.792688009,0.345280711
05097,0.182,"1,630",18.2,47.95743424,0.213746907
05099,0.17,"1,410",17,63.50642964,0.2691547
05101,0.141,"1,090",14.1,47.58760246,0.326696097
05103,0.17,"4,000",17,21.15243764,0.191760874
05105,0.161,"1,660",16.1,76.68046205,0.338453801
05107,0.222,"4,020",22.2,48.07761516,0.267313975
05109,0.171,"1,830",17.1,62.38791071,0.076415521
05111,0.182,"4,330",18.2,29.38018237,0.293982882
05113,0.188,"3,770",18.8,37.71545986,0.328384558
05115,0.148,"9,450",14.8,43.29461592,0.221664483
05117,0.14,"1,140",14,41.14012534,0.025220531
05119,0.147,"57,690",14.7,60.15132107,0.211185446
05121,0.176,"3,150",17.6,6.331164731,0.234758344
05123,0.195,"4,970",19.5,94.22877427,0.09846767
05125,0.116,"14,010",11.6,22.51125163,0.187648189
05127,0.164,"1,680",16.4,59.58455932,0.407815324
05129,0.203,"1,600",20.3,25.76004636,0.057374861
05131,0.165,"21,040",16.5,56.99231286,0.201047621
05133,0.152,"2,580",15.2,22.5594429,0.260642946
05135,0.182,"3,130",18.2,2.45485146,0.405637419
05137,0.193,"2,430",19.3,4.864639369,0.273524663
05139,0.159,"6,210",15.9,92.9525353,0.310854776
05141,0.177,"2,930",17.7,35.05676755,0.085952879
05143,0.135,"31,830",13.5,27.20986012,0.25294135
05145,0.154,"12,150",15.4,10.11335351,0.268743799
05147,0.169,"1,090",16.9,59.4404145,0.303590408
05149,0.14,"3,000",14,26.17595269,7.66727181
06001,0.093,"154,830",9.3,35.18306186,7.098856474
06003,0.117,140,11.7,76.92972218,7.324507345
06005,0.106,"4,160",10.6,19.07192122,7.574205805
