FIPS,County,Food Insecurity %
45001,Abbeville County,11.30%
45003,Aiken County,9.10%
45005,Allendale County,15.90%
45007,Anderson County,10.30%
45009,Bamberg County,12.20%
45011,Barnwell County,15.80%
45013,Beaufort County,7.40%
45015,Berkeley County,8.50%
45017,Calhoun County,11.40%
45019,Charleston County,9%
45021,Cherokee County,12.80%
45023,Chester County,12.50%
45025,Chesterfield County,12.70%
45027,Clarendon County,12.80%
45029,Colleton County,11.20%
45031,Darlington County,13.10%
45033,Dillon County,15.30%
45035,Dorchester County,8.60%
45037,Edgefield County,9.30%
45039,Fairfield County,10.90%
45041,Florence County,10.10%
45043,Georgetown County,10.80%
45045,Greenville County,8.70%
45047,Greenwood County,11.70%
45049,Hampton County,9.60%
45051,Horry County,12%
45053,Jasper County,9.90%
45055,Kershaw County,9.90%
45057,Lancaster County,9.10%
45059,Laurens County,13%
45061,Lee County,13.30%
45063,Lexington County,8.10%
45065,McCormick County,10.30%
45067,Marion County,12.60%
45069,Marlboro County,17.50%
45071,Newberry County,9.80%
45073,Oconee County,11.50%
45075,Orangeburg County,12.90%
45077,Pickens County,10.20%
45079,Richland County,9.40%
45081,Saluda County,9.70%
45083,Spartanburg County,10.50%
45085,Sumter County,11.10%
45087,Union County,14.40%
45089,Williamsburg County,13.40%
45091,York County,7.50%
