Normalized%,Flip,10% food,30% food,50% food,70% food,90% food
0.483333333,0.899480023,0.857865354,0.774636016,0.691406678,0.597111035,0.524948002
0.413333333,0.862592341,0.81766644,0.727814639,0.637962837,0.506545387,0.458259234
0.65,0.724040181,0.716636163,0.701828127,0.687020091,0.700539553,0.657404018
0.546666667,0.818465178,0.791285327,0.736925625,0.682565923,0.625982229,0.573846518
0.46,0.811051873,0.775946686,0.705736311,0.635525937,0.560870015,0.495105187
0.533333333,0.796233384,0.769943379,0.717363369,0.664783359,0.60347212,0.559623338
0.543333333,0.76712929,0.744749694,0.699990503,0.655231312,0.588389857,0.565712929
0.536666667,0.693521745,0.677836237,0.646465222,0.615094206,0.617215966,0.552352175
0.503333333,0.80516433,0.77498123,0.714615031,0.654248832,0.556952932,0.533516433
0.473333333,0.682065328,0.661192129,0.61944573,0.577699331,0.573007747,0.494206533
0.53,0.805581378,0.77802324,0.722906965,0.667790689,0.522077881,0.557558138
0.563333333,0.503592938,0.509566978,0.521515057,0.533463136,0.577598871,0.557359294
0.636666667,0.610885126,0.61346328,0.618619588,0.623775897,0.659190295,0.634088513
0.49,0.711745426,0.689570883,0.645221798,0.600872713,0.555503838,0.512174543
0.536666667,0.708346125,0.691178179,0.656842288,0.622506396,0.570993838,0.553834613
0.486666667,0.651090569,0.634648179,0.601763398,0.568878618,0.538366701,0.503109057
0.53,0.659000114,0.646100103,0.62030008,0.594500057,0.558447251,0.542900011
0.533333333,0.62482417,0.615675086,0.597376919,0.579078752,0.615037796,0.542482417
0.466666667,0.805681544,0.771780056,0.703977081,0.636174106,0.510480376,0.500568155
0.546666667,0.612712363,0.606107793,0.592898654,0.579689515,0.617038653,0.553271237
0.506666667,0.781239953,0.753782624,0.698867967,0.64395331,0.589891878,0.534123996
0.49,0.784084038,0.754675634,0.695858827,0.637042019,0.526739757,0.519408404
0.57,0.612465858,0.608219272,0.599726101,0.591232929,0.632942974,0.574246586
0.676666667,0.779809913,0.769495588,0.748866939,0.72823829,0.701494895,0.686980992
0.533333333,0.759427426,0.736818017,0.691599198,0.64638038,0.645269164,0.555942742
0.416666667,0.906452768,0.857474158,0.759516938,0.661559718,0.486836889,0.465645277
0.606666667,0.650567406,0.646177332,0.637397184,0.628617037,0.640222138,0.611056741
0.543333333,0.718518236,0.700999746,0.665962765,0.630925785,0.59914683,0.560851823
0.593333333,0.729378324,0.715773825,0.688564827,0.661355829,0.605654806,0.606937832
0.496666667,0.63440491,0.620631086,0.593083437,0.565535789,0.508540147,0.510440491
0.613333333,0.536244932,0.543953772,0.559371452,0.574789133,0.613792834,0.605624493
0.743333333,0.614865004,0.627711837,0.653405503,0.679099169,0.720234904,0.7304865
0.64,0.666338571,0.663704714,0.658437,0.653169286,0.636996288,0.642633857
0.456666667,0.629987627,0.612655531,0.577991339,0.543327147,0.503448487,0.473998763
0.51,0.612606068,0.602345461,0.581824248,0.561303034,0.60667191,0.520260607
0.56,0.832239699,0.805015729,0.750567789,0.69611985,0.683223267,0.58722397
0.47,0.970744222,0.9206698,0.820520955,0.720372111,0.516448285,0.520074422
0.57,0.624827618,0.619344856,0.608379333,0.597413809,0.607830413,0.575482762
0.466666667,0.696101377,0.673157906,0.627270964,0.581384022,0.563049405,0.489610138
0.543333333,0.787942459,0.763481546,0.714559721,0.665637896,0.638574437,0.567794246
0.47,0.860803679,0.821723311,0.743562575,0.66540184,0.595861839,0.509080368
0.43,0.889539462,0.843585516,0.751677623,0.659769731,0.566967674,0.475953946
0.67,0.886558914,0.864903023,0.82159124,0.778279457,0.712690744,0.691655891
0.546666667,0.812302481,0.7857389,0.732611737,0.679484574,0.678018416,0.573230248
0.396666667,0.984505829,0.925721913,0.80815408,0.690586248,0.451091767,0.455450583
0.566666667,0.578083668,0.576941968,0.574658568,0.572375168,0.583757285,0.567808367
0.59,0.623635393,0.620271854,0.613544775,0.606817697,0.669345156,0.593363539
0.506666667,0.854483852,0.819702134,0.750138697,0.68057526,0.63470953,0.541448386
0.523333333,0.933476209,0.892461921,0.810433346,0.728404771,0.544717172,0.564347621
0.61,0.594612795,0.596151516,0.599228957,0.602306398,0.70820972,0.60846128
0.523333333,0.937365732,0.895962492,0.813156012,0.730349533,0.631650462,0.564736573
0.473333333,0.884390431,0.843284721,0.761073302,0.678861882,0.544597441,0.514439043
0.763333333,0.710880361,0.716125658,0.726616253,0.737106847,0.724835104,0.758088036
0.616666667,0.635005904,0.63317198,0.629504133,0.625836286,0.663561787,0.618500591
0.503333333,0.772983732,0.746018692,0.692088612,0.638158533,0.561432427,0.530298373
0.503333333,0.69699698,0.677630615,0.638897886,0.600165157,0.615004729,0.522699698
0.56,0.875571319,0.844014187,0.780899923,0.71778566,0.641196399,0.591557132
0.436666667,0.830654664,0.791255864,0.712458265,0.633660666,0.580002491,0.476065467
0.32,0.914452748,0.855007473,0.736116924,0.617226374,0.37497397,0.379445275
0.623333333,0.503246565,0.515255242,0.539272595,0.563289949,0.678198331,0.611324656
0.55,0.806216659,0.780594993,0.729351661,0.67810833,0.615962457,0.575621666
0.53,0.769874858,0.745887372,0.697912401,0.649937429,0.609294256,0.553987486
0.476666667,0.794314187,0.762549435,0.699019931,0.635490427,0.582199119,0.508431419
0.576666667,0.828441507,0.803264023,0.752909055,0.702554087,0.618621777,0.601844151
0.5,0.716517032,0.694865329,0.651561922,0.608258516,0.557387032,0.521651703
0.716666667,0.691290107,0.693827763,0.698903075,0.703978387,0.718545535,0.714129011
0.566666667,0.72292956,0.707303271,0.676050692,0.644798114,-4.374188051,0.582292956
0.326666667,-15.90284906,-14.27989749,-11.03399434,-7.788091197,-1.557666932,-1.296284906
0.336666667,-5.954445329,-5.325334129,-4.06711173,-2.808889331,-3.85128916,-0.292444533
0.333333333,-13.62318609,-12.22753415,-9.436230263,-6.644926379,-4.388133634,-1.062318609
0.68,-15.40488989,-13.7964009,-10.57942292,-7.362444945,-3.980075134,-0.928488989
0.36,-14.85358378,-13.3322254,-10.28950865,-7.24679189,-3.928402155,-1.161358378
0.306666667,-13.93467385,-12.5105398,-9.662271695,-6.814003592,-4.3231126,-1.117467385
0.393333333,-15.12593089,-13.57400447,-10.47015162,-7.366298779,-3.783693346,-1.158593089
0.54,-13.53008893,-12.12308004,-9.309062251,-6.495044465,-2.974721952,-0.867008893
0.486666667,-11.17573984,-10.00949919,-7.677017888,-5.344536587,-2.987286901,-0.679573984
0.306666667,-11.09317856,-9.953194037,-7.673224992,-5.393255947,-3.045569158,-0.833317856
0.566666667,-10.86745275,-9.724040808,-7.437216925,-5.150393042,-3.799468865,-0.576745275
0.47,-13.98711844,-12.5414066,-9.649982908,-6.75855922,-2.647675819,-0.975711844
0.31,-9.92225273,-8.899027457,-6.852576911,-4.806126365,-4.075603046,-0.713225273
0.426666667,-14.30867682,-12.83514247,-9.888073774,-6.941005077,-4.129446403,-1.046867682
0.406666667,-14.7603769,-13.24367254,-10.21026383,-7.176855117,-3.846937725,-1.11003769
0.33,-13.77201464,-12.36181318,-9.541410248,-6.72100732,-4.590675069,-1.080201464
0.893333333,-16.07225023,-14.37569187,-10.98257516,-7.589458449,-3.828966008,-0.803225023
0.5,-14.84766447,-13.31289802,-10.24336513,-7.173832235,-4.301190289,-1.034766447
0.37,-15.50396763,-13.91657087,-10.74177734,-7.566983815,-2.884633127,-1.217396763
0.563333333,-10.47877709,-9.374566048,-7.166143963,-4.957721879,-2.706848474,-0.540877709
0.366666667,-10.33727269,-9.266878754,-7.126090883,-4.985303012,-3.01655896,-0.703727269
0.606666667,-10.91075209,-9.759010214,-7.455526463,-5.152042712,-2.937452422,-0.545075209
0.37,-11.20706363,-10.04935727,-7.733944541,-5.418531815,-3.626352881,-0.787706363
0.55,-12.95117627,-11.60105864,-8.900823389,-6.200588135,-3.487084976,-0.800117627
0.333333333,-12.90694992,-11.58292159,-8.934864944,-6.286808294,-4.562737744,-0.990694992
0.556666667,-15.98690359,-14.33254656,-11.02383251,-7.715118462,-2.675058387,-1.097690359
0.4,-10.21575018,-9.154175162,-7.031025126,-4.90787509,-3.340440023,-0.661575018
0.37,-12.06813341,-10.82432007,-8.336693387,-5.849066705,-4.022462705,-0.873813341
0.343333333,-14.27154235,-12.81005478,-9.887079645,-6.964104509,-0.735586078,-1.118154235
0.616666667,-3.253064705,-2.866091568,-2.092145293,-1.318199019,-0.641393133,0.22969353
0.753333333,-3.576865998,-3.143846065,-2.277806199,-1.411766333,-0.6383081,0.3203134
0.42,-3.885471442,-3.454924298,-2.593830009,-1.732735721,-0.816306525,-0.010547144
0.486666667,-3.70102175,-3.282252908,-2.444715225,-1.607177542,-0.711634037,0.067897825
0.53,-3.507669013,-3.103902112,-2.296368309,-1.488834507,-0.619350956,0.126233099
0.46,-3.301169853,-2.925052868,-2.172818897,-1.420584927,-1.058575903,0.083883015
0.36,-4.601919675,-4.105727708,-3.113343773,-2.120959838,-1.010316152,-0.136191968
0.583333333,-4.207720506,-3.728615122,-2.770404354,-1.812193587,-0.925563678,0.104227949
0.366666667,-4.446323369,-3.965024365,-3.002426358,-2.039828351,-0.789611027,-0.114632337
0.546666667,-3.487592312,-3.084166414,-2.277314618,-1.470462823,-0.85402886,0.143240769
0.64,-4.122318423,-3.646086581,-2.693622896,-1.741159212,-0.728123247,0.163768158
0.42,-3.920410823,-3.486369741,-2.618287576,-1.750205412,-0.882721549,-0.014041082
0.37,-3.922405162,-3.493164646,-2.634683613,-1.776202581,-0.985338478,-0.059240516
0.466666667,-4.147794927,-3.686348768,-2.763456449,-1.84056413,-1.069647847,0.005220508
0.433333333,-4.654381713,-4.145610208,-3.128067199,-2.11052419,0.513210066,-0.075438172
0.54,0.699589111,0.6836302,0.651712378,0.619794556,0.603899259,0.555958911
0.49,0.752997531,0.726697778,0.674098272,0.621498766,0.49474959,0.516299753
0.556666667,0.505831967,0.510915437,0.521082377,0.531249317,0.673843078,0.551583197
0.523333333,0.947254705,0.904862568,0.820078293,0.735294019,0.581056887,0.56572547
0.356666667,0.71574518,0.679837329,0.608021626,0.536205924,0.451064403,0.392574518
0.513333333,0.671325787,0.655526542,0.623928051,0.59232956,0.544968742,0.529132578
0.496666667,0.618784695,0.606572892,0.582149287,0.557725681,0.598810118,0.50887847
0.433333333,0.837144836,0.796763686,0.716001385,0.635239085,0.501111758,0.473714483
0.466666667,0.659261417,0.640001942,0.601482992,0.562964042,0.531650775,0.485926142
0.69,0.683280361,0.683952325,0.685296253,0.686640181,0.722200214,0.689328036
0.563333333,0.797334047,0.773933976,0.727133833,0.68033369,0.603381545,0.586733404
0.626666667,0.696827372,0.689811302,0.675779161,0.66174702,0.65669672,0.633682738
0.536666667,0.726766845,0.707756827,0.669736792,0.631716756,0.604820209,0.555676685
0.486666667,0.76384514,0.736127293,0.680691598,0.625255904,0.573816801,0.514384514
0.58,0.777167113,0.757450402,0.718016979,0.678583557,0.703908371,0.599716711
0.6,0.993027902,0.953725112,0.875119531,0.796513951,0.690239419,0.63930279
0.533333333,0.900798063,0.86405159,0.790558644,0.717065698,0.636316869,0.570079806
0.53,0.876611786,0.841950607,0.77262825,0.703305893,0.618107589,0.564661179
0.556666667,0.823691963,0.796989433,0.743584374,0.690179315,0.610730362,0.583369197
0.53,0.736878984,0.716191086,0.674815289,0.633439492,0.544189092,0.550687898
0.47,0.577296972,0.566567275,0.54510788,0.523648486,0.514079149,0.480729697
0.58,0.616930496,0.613237446,0.605851347,0.598465248,0.65923294,0.58369305
0.516666667,0.844109801,0.811365488,0.745876861,0.680388234,0.614129063,0.54941098
0.476666667,0.84154132,0.805053855,0.732078924,0.659103994,0.519475349,0.513154132
0.636666667,0.619362272,0.621092712,0.624553591,0.62801447,0.674922965,0.634936228
