Center Name,Address,Latitude,Longitude
"Second Harvest of the Big Bend, Inc.","4446 Entrepot Blvd, Tallahassee, FL 32310",30.4008539,-84.3251969
,,,
,,,
,,,
,,,
,,,
Feeding Northeast Florida,"1116 Edgewood Avenue North #D/E, Jacksonville, FL 32254",30.340995,-81.7334031
Second Harvest Food Bank of Central Florida,"411 Mercy Dr, Orlando, FL 32805",28.5481544,-81.4294436
Feeding Tampa Bay,"4702 Transport Dr, Tampa, FL 33605",27.958879,-82.4069089
All Faiths Food Bank,"8171 Blaikie Ct, Sarasota, FL 34240",27.3472032,-82.4020472
Treasure Coast Food Bank,"401 Angle Rd, Fort Pierce, FL 34947",27.450971,-80.3607865
Harry Chapin Food Bank of Southwest Florida,"3760 Fowler St, Fort Myers, FL 33901",26.6073047,-81.8631754
Feeding South Florida,"2501 SW 32nd Terrace, Pembroke Park, FL 33023",25.987391,-80.1732949
