FIPS,County,Food Insecurity %
12001,Alachua County,12.4
12003,Baker County,10.5
12005,Bay County,13.2
12007,Bradford County,15
12009,Brevard County,11.4
12011,Broward County,10.8
12013,Calhoun County,13.9
12015,Charlotte County,12.9
12017,Citrus County,14.8
12019,Clay County,9.5
12021,Collier County,10
12023,Columbia County,13.2
12027,DeSoto County,15.2
12029,Dixie County,14.6
12031,Duval County,12.2
12033,Escambia County,12.7
12035,Flagler County,11.5
12037,Franklin County,14.8
12039,Gadsden County,13.2
12041,Gilchrist County,12.4
12043,Glades County,12.4
12045,Gulf County,12.6
12047,Hamilton County,16.6
12049,Hardee County,14.3
12051,Hendry County,15
12053,Hernando County,13.8
12055,Highlands County,14.2
12057,Hillsborough County,11.4
12059,Holmes County,16.2
12061,Indian River County,11.2
12063,Jackson County,13.7
12065,Jefferson County,12.4
12067,Lafayette County,12.2
12069,Lake County,12.4
12071,Lee County,11.2
12073,Leon County,12.2
12075,Levy County,14.8
12077,Liberty County,15.4
12079,Madison County,16.5
12081,Manatee County,11.2
12083,Marion County,13.1
12085,Martin County,10.4
12086,Miami-Dade County,10.8
12087,Monroe County,11.3
12089,Nassau County,10.7
12091,Okaloosa County,11.2
12093,Okeechobee County,12.7
12095,Orange County,12.8
12097,Osceola County,13.8
12099,Palm Beach County,10.6
12101,Pasco County,12.3
12103,Pinellas County,12.2
12105,Polk County,13.3
12107,Putnam County,16.2
12109,St. Johns County,8.5
12111,St. Lucie County,11.7
12113,Santa Rosa County,10.6
12115,Sarasota County,10.8
12117,Seminole County,9.9
12119,Sumter County,11.4
12121,Suwannee County,12.8
12123,Taylor County,15.3
12125,Union County,12.3
12127,Volusia County,12.9
12129,Wakulla County,8.2
12131,Walton County,11.8
12133,Washington County,16.2
