FIPS,County,Food Insecurity %
13001,Appling County,14.2
13003,Atkinson County,14.9
13005,Bacon County,16.2
13007,Baker County,14.7
13009,Baldwin County,14.4
13011,Banks County,12.7
13013,Barrow County,10.1
13015,Bartow County,11.8
13017,Ben Hill County,17.2
13019,Berrien County,16.3
13021,Bibb County,16.1
13023,Bleckley County,14.2
13025,Brantley County,14.6
13027,Brooks County,14
13029,Bryan County,9.8
13031,Bulloch County,13.5
13033,Burke County,12.4
13035,Butts County,14.6
13037,Calhoun County,14.1
13039,Camden County,11.6
13043,Candler County,16.4
13045,Carroll County,12.5
13047,Catoosa County,10.7
13049,Charlton County,14.9
13051,Chatham County,12.5
13053,Chattahoochee County,15.7
13055,Chattooga County,17
13057,Cherokee County,8
13059,Clarke County,15
13061,Clay County,20.5
13063,Clayton County,12.4
13065,Clinch County,16.1
13067,Cobb County,8.1
13069,Coffee County,14.2
13071,Colquitt County,14.6
13073,Columbia County,7.4
13075,Cook County,13.8
13077,Coweta County,9.1
13079,Crawford County,13.4
13081,Crisp County,19.1
13083,Dade County,12.1
13085,Dawson County,9.6
13087,Decatur County,14.6
13089,DeKalb County,11.1
13091,Dodge County,14.8
13093,Dooly County,14.4
13095,Dougherty County,17.1
13097,Douglas County,9.5
13099,Early County,16.7
13101,Echols County,13.9
13103,Effingham County,8.3
13105,Elbert County,16.2
13107,Emanuel County,16.9
13109,Evans County,14.1
13111,Fannin County,12.9
13113,Fayette County,6.5
13115,Floyd County,14.4
13117,Forsyth County,6.2
13119,Franklin County,15.7
13121,Fulton County,11.3
13123,Gilmer County,13.4
13125,Glascock County,12.8
13127,Glynn County,13.3
13129,Gordon County,13.2
13131,Grady County,13.2
13133,Greene County,11.2
13135,Gwinnett County,8.4
13137,Habersham County,11.8
13139,Hall County,10.4
13141,Hancock County,14.6
13143,Haralson County,13
13145,Harris County,7.5
13147,Hart County,12.9
13149,Heard County,17.2
13151,Henry County,8.2
13153,Houston County,10
13155,Irwin County,14.3
13157,Jackson County,9.3
13159,Jasper County,12.2
13161,Jeff Davis County,14.7
13163,Jefferson County,13.6
13165,Jenkins County,18.3
13167,Johnson County,14.8
13169,Jones County,9.4
13171,Lamar County,12.8
13173,Lanier County,17.1
13175,Laurens County,16.3
13177,Lee County,9.5
13179,Liberty County,12
13181,Lincoln County,13.9
13183,Long County,14.6
13185,Lowndes County,14.1
13187,Lumpkin County,10.5
13189,McDuffie County,13.4
13191,McIntosh County,11.9
13193,Macon County,15.9
13195,Madison County,14.6
13197,Marion County,11
13199,Meriwether County,16.4
13201,Miller County,12.9
13205,Mitchell County,16
13207,Monroe County,12.2
13209,Montgomery County,12.2
13211,Morgan County,9
13213,Murray County,13.6
13215,Muscogee County,15.3
13217,Newton County,11.5
13219,Oconee County,6.8
13221,Oglethorpe County,10.4
13223,Paulding County,8
13225,Peach County,13.7
13227,Pickens County,11.8
13229,Pierce County,12.4
13231,Pike County,9
13233,Polk County,14.2
13235,Pulaski County,14.4
13237,Putnam County,13.9
13239,Quitman County,12.1
13241,Rabun County,15.5
13243,Randolph County,16.7
13245,Richmond County,15.7
13247,Rockdale County,9.3
13249,Schley County,11.1
13251,Screven County,14.6
13253,Seminole County,17
13255,Spalding County,13.8
13257,Stephens County,13.6
13259,Stewart County,15.5
13261,Sumter County,14.6
13263,Talbot County,11.7
13265,Taliaferro County,14.9
13267,Tattnall County,13.9
13269,Taylor County,19.1
13271,Telfair County,17.3
13273,Terrell County,17.8
13275,Thomas County,13.5
13277,Tift County,13.8
13279,Toombs County,15.1
13281,Towns County,12.4
13283,Treutlen County,19.7
13285,Troup County,14.6
13287,Turner County,17.9
13289,Twiggs County,11.8
13291,Union County,13.1
13293,Upson County,14.8
13295,Walker County,13.6
13297,Walton County,10.4
13299,Ware County,14.9
13301,Warren County,14.9
13303,Washington County,14
13305,Wayne County,13.1
13307,Webster County,14.4
13309,Wheeler County,16.4
13311,White County,11.7
13313,Whitfield County,12.3
13315,Wilcox County,14.2
13317,Wilkes County,15.1
13319,Wilkinson County,14.1
13321,Worth County,13.5
