FIPS,County,Food Insecurity %
22001,Acadia Parish,17.3
22003,Allen Parish,14.7
22005,Ascension Parish,9.5
22007,Assumption Parish,16.4
22009,Avoyelles Parish,18.2
22011,Beauregard Parish,13.6
22013,Bienville Parish,19.2
22015,Bossier Parish,13.1
22017,Caddo Parish,16
22019,Calcasieu Parish,14.2
22021,Caldwell Parish,16.1
22023,Cameron Parish,10.2
22025,Catahoula Parish,16.2
22027,Claiborne Parish,19.2
22029,Concordia Parish,17.9
22031,De Soto Parish,15.5
22033,East Baton Rouge Parish,12.9
22035,East Carroll Parish,25.9
22037,East Feliciana Parish,11.4
22039,Evangeline Parish,20.8
22041,Franklin Parish,18
22043,Grant Parish,13.7
22045,Iberia Parish,16.6
22047,Iberville Parish,14.2
22049,Jackson Parish,16
22051,Jefferson Parish,13.9
22053,Jefferson Davis Parish,15.5
22055,Lafayette Parish,12.9
22057,Lafourche Parish,14.1
22059,La Salle Parish,12.4
22061,Lincoln Parish,16.6
22063,Livingston Parish,10.9
22065,Madison Parish,20.6
22067,Morehouse Parish,17.6
22069,Natchitoches Parish,16.5
22071,Orleans Parish,17.3
22073,Ouachita Parish,15.7
22075,Plaquemines Parish,13.8
22077,Pointe Coupee Parish,16.8
22079,Rapides Parish,14.4
22081,Red River Parish,16.8
22083,Richland Parish,17.9
22085,Sabine Parish,15.5
22087,St. Bernard Parish,17.4
22089,St. Charles Parish,10.5
22091,St. Helena Parish,17.5
22093,St. James Parish,11.9
22095,St. John the Baptist Parish,12.4
22097,St. Landry Parish,15.8
22099,St. Martin Parish,13.5
22101,St. Mary Parish,16.6
22103,St. Tammany Parish,11.6
22105,Tangipahoa Parish,16.3
22107,Tensas Parish,18
22109,Terrebonne Parish,15
22111,Union Parish,14.6
22113,Vermilion Parish,14.6
22115,Vernon Parish,15.6
22117,Washington Parish,17.7
22119,Webster Parish,17.6
22121,West Baton Rouge Parish,11.7
22123,West Carroll Parish,16
22125,West Feliciana Parish,9.3
22127,Winn Parish,14.9
