FIPS,Percent,Total,%,Distance to Closest (Miles),Normalized,Flip
01001,0.145,"8,070",14.5,20.70779596,0.100519977,0.899480023
01003,0.124,"27,070",12.4,28.06057038,0.137407659,0.862592341
01005,0.195,"4,870",19.5,55.67799547,0.275959819,0.724040181
01007,0.164,"3,680",16.4,36.85638154,0.181534822,0.818465178
01009,0.138,"7,980",13.8,38.3340661,0.188948127,0.811051873
01011,0.16,"1,620",16,41.28781658,0.203766616,0.796233384
01013,0.163,"3,210",16.3,47.08909855,0.23287071,0.76712929
01015,0.161,"18,430",16.1,61.76119639,0.306478255,0.693521745
01017,0.151,"5,040",15.1,39.50762247,0.19483567,0.80516433
01019,0.142,"3,700",14.2,64.0447894,0.317934672,0.682065328
01021,0.159,"7,000",15.9,39.42449291,0.194418622,0.805581378
01023,0.169,"2,160",16.9,99.61946294,0.496407062,0.503592938
01025,0.191,"4,560",19.1,78.23304808,0.389114874,0.610885126
01027,0.147,"1,950",14.7,58.12869327,0.288254574,0.711745426
01029,0.161,"2,410",16.1,58.80627171,0.291653875,0.708346125
01031,0.146,"7,620",14.6,70.21894851,0.348909431,0.651090569
01033,0.159,"8,740",15.9,68.642349,0.340999886,0.659000114
01035,0.16,"1,950",16,75.45459627,0.37517583,0.62482417
01037,0.14,"1,500",14,39.40452694,0.194318456,0.805681544
01039,0.164,"6,080",16.4,77.86882736,0.387287637,0.612712363
01041,0.152,"2,110",15.2,44.27643793,0.218760047,0.781239953
01043,0.147,"12,260",14.7,43.70953026,0.215915962,0.784084038
01045,0.171,"8,440",17.1,77.91796277,0.387534142,0.612465858
01047,0.203,"7,760",20.3,44.56148615,0.220190087,0.779809913
01049,0.16,"11,450",16,48.62430111,0.240572574,0.759427426
01051,0.125,"10,170",12.5,19.31792757,0.093547232,0.906452768
01053,0.182,"6,680",18.2,70.3232299,0.349432594,0.650567406
01055,0.163,"16,790",16.3,56.77867776,0.281481764,0.718518236
01057,0.178,"2,930",17.8,54.61395024,0.270621676,0.729378324
01059,0.149,"4,690",14.9,73.54487961,0.36559509,0.63440491
01061,0.184,"4,850",18.4,93.11098272,0.463755068,0.536244932
01063,0.223,"1,840",22.3,77.43974412,0.385134996,0.614865004
01065,0.192,"2,840",19.2,67.17958367,0.333661429,0.666338571
01067,0.137,"2,340",13.7,74.42537088,0.370012373,0.629987627
01069,0.153,"16,130",15.3,77.89001491,0.387393932,0.612606068
01071,0.168,"8,710",16.8,34.11072381,0.167760301,0.832239699
01073,0.141,"93,140",14.1,6.502794221,0.029255778,0.970744222
01075,0.171,"2,380",17.1,75.453909,0.375172382,0.624827618
01077,0.14,"13,000",14,61.2470017,0.303898623,0.696101377
01079,0.163,"5,380",16.3,42.94043608,0.212057541,0.787942459
01081,0.141,"22,990",14.1,28.41710215,0.139196321,0.860803679
01083,0.129,"12,530",12.9,22.68923524,0.110460538,0.889539462
01085,0.201,"2,000",20.1,23.28334406,0.113441086,0.886558914
01087,0.164,"3,030",16.4,38.08478399,0.187697519,0.812302481
01089,0.119,"43,590",11.9,3.759710519,0.015494171,0.984505829
01091,0.17,"3,250",17,84.77132083,0.421916332,0.578083668
01093,0.177,"5,290",17.7,75.69155365,0.376364607,0.623635393
01095,0.152,"14,630",15.2,29.67682524,0.145516148,0.854483852
01097,0.157,"65,050",15.7,13.93137963,0.066523791,0.933476209
01099,0.183,"3,840",18.3,81.476591,0.405387205,0.594612795
01101,0.157,"35,470",15.7,13.15608597,0.062634268,0.937365732
01103,0.142,"16,990",14.2,23.71558506,0.115609569,0.884390431
01105,0.229,"2,090",22.9,58.30112556,0.289119639,0.710880361
01107,0.185,"3,720",18.5,73.42508432,0.364994096,0.635005904
01109,0.151,"5,040",15.1,45.92213993,0.227016268,0.772983732
01111,0.151,"3,430",15.1,61.06848215,0.30300302,0.69699698
01113,0.168,"9,730",16.8,25.47348724,0.124428681,0.875571319
01115,0.131,"11,630",13.1,34.42666672,0.169345336,0.830654664
01117,0.096,"20,860",9.6,17.72330182,0.085547252,0.914452748
01119,0.187,"2,360",18.7,99.68850496,0.496753435,0.503246565
01121,0.165,"13,220",16.5,39.29786317,0.193783341,0.806216659
01123,0.159,"6,420",15.9,46.54182798,0.230125142,0.769874858
01125,0.143,"29,840",14.3,41.67036766,0.205685813,0.794314187
01127,0.173,"11,040",17.3,34.86781263,0.171558493,0.828441507
01129,0.15,"2,460",15,57.1775752,0.283482968,0.716517032
01131,0.215,"2,270",21.5,62.20602602,0.308709893,0.691290107
01133,0.17,"4,020",17,55.89937419,0.27707044,0.72292956
02013,0.098,330,9.8,60.55179612,16.90284906,-15.90284906
02016,0.101,570,10.1,49.90596398,6.954445329,-5.954445329
02020,0.1,"29,270",10,99.17316009,14.62318609,-13.62318609
02050,0.204,"3,720",20.4,11.18492965,16.40488989,-15.40488989
02060,0.108,80,10.8,57.33142744,15.85358378,-14.85358378
02068,0.162,410,16.2,33.13298901,14.53008893,-13.53008893
02070,0.146,720,14.6,68.59026377,12.17573984,-11.17573984
02090,0.092,"9,040",9.2,63.80259842,12.09317856,-11.09317856
02100,0.17,430,17,41.06842284,11.86745275,-10.86745275
02105,0.141,300,14.1,61.10228988,14.98711844,-13.98711844
02110,0.093,"2,980",9.3,55.13449304,10.92225273,-9.92225273
02122,0.128,"7,550",12.8,47.74372392,15.30867682,-14.30867682
02130,0.122,"1,690",12.2,45.08827194,15.7603769,-14.7603769
02150,0.099,"1,330",9.9,2.061016563,14.77201464,-13.77201464
02164,0.15,170,15,25.26609241,15.84766447,-14.84766447
02170,0.111,"11,920",11.1,35.81453305,16.50396763,-15.50396763
02180,0.169,"1,690",16.9,53.11885329,11.47877709,-10.47877709
02185,0.11,"1,030",11,84.92813193,11.33727269,-10.33727269
02188,0.182,"1,400",18.2,77.02803217,11.91075209,-10.91075209
02195,0.111,360,11.1,31.7446715,12.20706363,-11.20706363
02198,0.165,"1,050",16.5,32.25664356,13.95117627,-12.95117627
02220,0.1,860,10,76.54330946,13.90694992,-12.90694992
02230,0.167,220,16.7,47.67544977,16.98690359,-15.98690359
02240,0.12,830,12,28.08989691,11.21575018,-10.21575018
02275,0.111,280,11.1,22.24916415,13.06813341,-12.06813341
02282,0.103,60,10.3,28.33473453,15.27154235,-14.27154235
02290,0.185,980,18.5,43.73118934,4.253064705,-3.253064705
04001,0.226,"16,230",22.6,44.86287491,4.576865998,-3.576865998
04003,0.126,"15,880",12.6,51.85804048,4.885471442,-3.885471442
04005,0.146,"20,730",14.6,73.55008136,4.70102175,-3.70102175
04007,0.159,"8,550",15.9,34.77283673,4.507669013,-3.507669013
04009,0.138,"5,300",13.8,36.53624834,4.301169853,-3.301169853
04011,0.108,"1,020",10.8,56.41707476,5.601919675,-4.601919675
04012,0.175,"3,680",17.5,26.97916246,5.207720506,-4.207720506
04013,0.11,"487,340",11,30.46167123,5.446323369,-4.446323369
04015,0.164,"34,670",16.4,52.64756181,4.487592312,-3.487592312
04017,0.192,"21,160",19.2,60.65717605,5.122318423,-4.122318423
04019,0.126,"130,860",12.6,22.28458585,4.920410823,-3.920410823
04021,0.111,"49,680",11.1,40.34925891,4.922405162,-3.922405162
04023,0.14,"6,540",14,25.12890773,5.147794927,-4.147794927
04025,0.13,"30,260",13,26.2716336,5.654381713,-4.654381713
04027,0.162,"34,400",16.2,79.8055346,0.300410889,0.699589111
05001,0.147,"2,610",14.7,11.13865912,0.247002469,0.752997531
05003,0.167,"3,330",16.7,33.39818935,0.494168033,0.505831967
05005,0.157,"6,540",15.7,63.58408607,0.052745295,0.947254705
