FIPS,County,Food Insecurity %
45001,Abbeville County,11.3
45003,Aiken County,9.1
45005,Allendale County,15.9
45007,Anderson County,10.3
45009,Bamberg County,12.2
45011,Barnwell County,15.8
45013,Beaufort County,7.4
45015,Berkeley County,8.5
45017,Calhoun County,11.4
45019,Charleston County,9
45021,Cherokee County,12.8
45023,Chester County,12.5
45025,Chesterfield County,12.7
45027,Clarendon County,12.8
45029,Colleton County,11.2
45031,Darlington County,13.1
45033,Dillon County,15.3
45035,Dorchester County,8.6
45037,Edgefield County,9.3
45039,Fairfield County,10.9
45041,Florence County,10.1
45043,Georgetown County,10.8
45045,Greenville County,8.7
45047,Greenwood County,11.7
45049,Hampton County,9.6
45051,Horry County,12
45053,Jasper County,9.9
45055,Kershaw County,9.9
45057,Lancaster County,9.1
45059,Laurens County,13
45061,Lee County,13.3
45063,Lexington County,8.1
45065,McCormick County,10.3
45067,Marion County,12.6
45069,Marlboro County,17.5
45071,Newberry County,9.8
45073,Oconee County,11.5
45075,Orangeburg County,12.9
45077,Pickens County,10.2
45079,Richland County,9.4
45081,Saluda County,9.7
45083,Spartanburg County,10.5
45085,Sumter County,11.1
45087,Union County,14.4
45089,Williamsburg County,13.4
45091,York County,7.5
