fips_code,name,lng,lat
1001,Autauga,-86.64289976,32.53514228
1003,Baldwin,-87.72274477,30.72782468
1005,Barbour,-85.39106787,31.87009042
1007,Bibb,-87.12681433,32.99837607
1009,Blount,-86.5670064,33.98087061
1011,Bullock,-85.71572943,32.10045868
1013,Butler,-86.68040924,31.75252432
1015,Calhoun,-85.82574705,33.77141549
1017,Chambers,-85.39168915,32.91366622
1019,Cherokee,-85.60387066,34.17588713
1021,Chilton,-86.71887934,32.84771004
1023,Choctaw,-88.26305322,32.02019311
1025,Clarke,-87.83077181,31.67695451
1027,Clay,-85.8607443,33.26966941
1029,Cleburne,-85.51786948,33.67495934
1031,Coffee,-85.98828821,31.40188396
1033,Colbert,-87.80463371,34.70085284
1035,Conecuh,-86.9938237,31.42899352
1037,Coosa,-86.24789409,32.9362956
1039,Covington,-86.45142629,31.24861005
1041,Crenshaw,-86.31341907,31.73169775
1043,Cullman,-86.86718877,34.13183982
1045,Dale,-85.611081,31.43204363
1047,Dallas,-87.10649231,32.32606741
1049,DeKalb,-85.80378574,34.46023769
1051,Elmore,-86.14884036,32.59724126
1053,Escambia,-87.16176056,31.12613571
1055,Etowah,-86.03476854,34.04518886
1057,Fayette,-87.73924331,33.72117266
1059,Franklin,-87.843283,34.44238135
1061,Geneva,-85.83932953,31.09486905
1063,Greene,-87.95276818,32.853304
1065,Hale,-87.62930576,32.7625948
1067,Henry,-85.24094152,31.51487991
1069,Houston,-85.30251402,31.15295179
1071,Jackson,-85.99947584,34.77954231
1073,Jefferson,-86.89657084,33.5543433
1075,Lamar,-88.09715315,33.77909349
1077,Lauderdale,-87.65411658,34.9015002
1079,Lawrence,-87.31085381,34.52223687
1081,Lee,-85.35522451,32.60106116
1083,Limestone,-86.98207203,34.81013487
1085,Lowndes,-86.65002353,32.1550404
1087,Macon,-85.69260703,32.38585029
1089,Madison,-86.55056927,34.76292257
1091,Marengo,-87.78920946,32.24794915
1093,Marion,-87.88740606,34.13691856
1095,Marshall,-86.30615623,34.36690867
1097,Mobile,-88.20659057,30.77909854
1099,Monroe,-87.36529615,31.57107175
1101,Montgomery,-86.20787706,32.22089414
1103,Morgan,-86.85325062,34.45331009
1105,Perry,-87.29424703,32.63859284
1107,Pickens,-88.08923504,33.28058298
1109,Pike,-85.94087373,31.80232564
1111,Randolph,-85.45918107,33.29354361
1113,Russell,-85.18428296,32.28806204
1115,St. Clair,-86.31476905,33.71540022
1117,Shelby,-86.66137476,33.26405258
1119,Sumter,-88.19904039,32.59104949
1121,Talladega,-86.16587666,33.37992421
1123,Tallapoosa,-85.79746538,32.86280802
1125,Tuscaloosa,-87.52558359,33.28952146
1127,Walker,-87.29727889,33.80316281
1129,Washington,-88.20819419,31.40759248
1131,Wilcox,-87.30786547,31.98928301
1133,Winston,-87.37341176,34.14959585
2013,Aleutians East,-161.9642606,55.36032516
2016,Aleutians West,-110.2449123,52.79430361
2020,Anchorage,-149.1118883,61.15068906
2050,Bethel,-159.8255997,60.91342739
2060,Bristol Bay,-156.7026695,58.74220214
2068,Denali,-150.0094238,63.67343339
2070,Dillingham,-158.2141634,59.79832305
2090,Fairbanks North Star,-146.5623662,64.8083752
2100,Haines,-135.5024208,59.11793896
2105,Hoonah-Angoon,-135.6386611,58.28575804
2110,Juneau,-134.1764399,58.45091866
2122,Kenai Peninsula,-151.5611779,60.2537748
